AGS,lon,lat,county,state,fair_dic,gem_women_share,gem_pop_density,gem_council,gem_cdu_biggest,pop_tot,rot_nearest_neighbor,rot_adel_int1,rot_uradel_int,rot_fem_share,rot_adel_fem,childlabor_mean_1898,ue_longterm,support_expenses_total_capita,law_cat,state_1898,welfare_recip_capita,elev_mean,river_dist_min,roman,peas_total,dist_wttb,law_cc_combined,suminc31_gini,suminc31_mean,suminc31_median,log_suminc31_gini,log_suminc31_mean,log_suminc31_median,inc_rental_gini,inc_rental_mean,inc_rental_median,log_inc_rental_gini,log_inc_rental_mean,log_inc_rental_median,rot_scaled,rot_scaled_uradel,rot_scaled_fem
AGS_01057044,10.45725947,54.28351652,county_01057,state_01,0,NA,NA,NA,NA,270,1,0,0,0,0,5.95,6,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,24.5414482624733,NA,0,0,306.219210974569,0,0.6073004,29312.92,17508.5,-0.49873171742577,10.2857836534442,9.77044175627632,NA,NA,NA,NA,NA,NA,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01057065,10.5162657,54.23674661,county_01057,state_01,0,NA,NA,NA,NA,335,1,0.0754716981132075,0,0.0377358490566038,2,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,22.0190987764846,NA,0,0,299.797408891064,0,0.4842162,21981.52,16792,-0.72522377778879,9.99795737934276,9.72865786150047,0.543401,3343.857,955.5,-0.609907741726585,8.11488021013233,6.86223476368033,1.6437440544873552,-0.4286575391366834,-0.25643932253865254
AGS_01057063,10.2728383,54.36011547,county_01057,state_01,0,0.0909090909090909,-0.49798283346456906,-1.1224897436403851,1,2017,1,0,0,0,0,5.95,16,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,13.5608995403808,NA,0,0,319.607942774176,0,0.4460692,24374.52,20224.5,-0.807281182046995,10.1012936033645,9.91465001974224,0.6961572,2583.723,348,-0.362179782081749,7.85698666101395,5.85220247977447,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01058115,9.6970172,54.1309399,county_01058,state_01,0,NA,NA,NA,NA,618,1,0,0,0.372093023255814,16,5.95,1,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,29.0676397294411,NA,0,0,320.220068549682,0,0.4614612,26109.78,22105.5,-0.773357302246426,10.1700652357672,10.0035817253214,0.744246,3842.423,825.5,-0.29538365363882,8.25385843617488,6.71598926336018,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01058159,9.69445252,54.10215238,county_01058,state_01,0,NA,NA,NA,NA,347,1,0,0,0.372093023255814,16,5.95,3,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,22.5666161998486,NA,0,0,317.852822216135,0,0.4478339,22496.37,17227,-0.803332874243808,10.0211092418436,9.75423319944637,0.5482588,1589.257,594,-0.601007840741365,7.37102189040018,6.38687931936265,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01057084,10.31397535,54.19152541,county_01057,state_01,0,NA,NA,NA,NA,485,1,0.0754716981132075,0,0.0377358490566038,2,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,17.0515607199818,NA,0,0,302.185531583345,0,0.5151747,28419.88,20570,-0.663249212540646,10.2548441792636,9.931588982647,0.5897732,4031.313,751.5,-0.528017222765259,8.30184740832894,6.62207120919303,1.6437440544873552,-0.4286575391366834,-0.25643932253865254
AGS_01058101,9.69440213,54.17002056,county_01058,state_01,0,NA,NA,NA,NA,395,1,0,0,0.372093023255814,16,5.95,3,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,15.4317092088563,NA,0,0,323.70655342724,0,0.4852352,25475.84,20036,-0.723121557140545,10.1454858310507,9.90528593447751,0.6922678,4620.333,657,-0.367782404007764,8.43822205940037,6.48768401848461,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01058094,9.93458425,54.21863157,county_01058,state_01,0,NA,NA,NA,NA,1503,1,0,0,0.3,9,5.95,15,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,16.7250623960067,NA,0,0,318.508081085566,0,0.4659688,29574.69,22916.5,-0.763636599887629,10.2946742069658,10.039612454107,0.6368598,2662.415,345,-0.451205741825778,7.88698888462544,5.84354441703136,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01057039,10.45174766,54.34170536,county_01057,state_01,0,NA,NA,NA,NA,828,1,0,0,0,0,5.95,4,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,23.7385708797541,NA,0,0,312.05115432708,0,0.438864,25045.16,20933,-0.823565708891957,10.128435874272,9.94908214009452,0.5316057,2386.013,386,-0.631853229852901,7.77737905109231,5.95583736946483,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01057054,10.18308631,54.1717485,county_01057,state_01,0,NA,NA,NA,NA,426,1,0,0,0.3,9,5.95,3,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,21.6418604651163,NA,0,0,304.973151436919,0,0.4279456,23901.51,20632,-0.848759194282324,10.0816969158402,9.93459854756118,0.5506166,3015.688,1103.5,-0.596716537799658,8.01158327550084,7.00624222569679,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01058144,9.97171449,54.16404602,county_01058,state_01,0,NA,NA,NA,NA,192,1,0,0,0.3,9,5.95,NA,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,17.8596563011457,NA,1,0,312.166118574658,0,0.5040259,30585.1,22123,-0.685127623342243,10.3282682412479,10.00437307031,NA,NA,NA,NA,NA,NA,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01057021,10.50511017,54.30368174,county_01057,state_01,0,NA,NA,NA,NA,1059,1,0,0,0,0,5.95,14,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,24.3523606512767,NA,0,0,306.670064724592,0,0.4234794,22880.11,19908.5,-0.859250408339925,10.0380232531745,9.8989020551945,0.6286825,4431.845,909,-0.464128919196052,8.39657125489136,6.81234509417748,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01058145,10.11326516,54.22433845,county_01058,state_01,0,NA,NA,NA,NA,315,1,0,0,0.3,9,5.95,3,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,25.4573170731707,NA,0,0,312.37226207751,0,0.4661213,28106.37,22512,-0.763309378299585,10.2437515200229,10.0218037793542,0.6970721,4113.685,697.5,-0.360866430242954,8.32207449946423,6.54750251369552,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01057052,10.43919354,54.24129697,county_01057,state_01,0,NA,NA,NA,NA,566,1,0.0754716981132075,0,0.0377358490566038,2,5.95,3,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,21.8889479277365,NA,0,0,302.72178688591,0,0.4514394,23219.43,19706,-0.795314134402412,10.052744707147,9.88867843688242,0.4935316,2361,1172,-0.706168389737109,7.76684053708551,7.06646697013696,1.6437440544873552,-0.4286575391366834,-0.25643932253865254
AGS_01058125,9.58324472,54.10832732,county_01058,state_01,0,NA,NA,NA,NA,650,1,0,0,0.372093023255814,16,5.95,5,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,7.0265221402214,NA,0,0,323.069527492795,0,0.4450861,23052.91,19780,-0.809487532385279,10.0455472877448,9.8924266051767,0.6530098,3431.125,1334,-0.426163142161352,8.14064347472176,7.19593722647557,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01058141,9.97918406,54.2555759,county_01058,state_01,0,NA,NA,NA,NA,385,1,0,0,0.3,9,5.95,NA,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,20.7016139090524,NA,0,0,320.178992252201,0,0.5078132,32513.62,22880,-0.677641615563392,10.3894143574527,10.0380184454937,0.7304444,5857.923,355.5,-0.31410216293995,8.6755503828834,5.8735252492433,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01058019,10.0724082,54.22115531,county_01058,state_01,0,NA,NA,NA,NA,319,1,0,0,0.3,9,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,23.7993320610687,NA,0,0,313.572606990879,0,0.4440478,23509.93,19410,-0.811823064686924,10.0651781640733,9.87354367616306,0.5535565,3946.606,1615,-0.591391454355574,8.28061124803012,7.38709023565676,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01058068,9.54548909,54.17235441,county_01058,state_01,0,NA,NA,NA,NA,525,1,0,0,0.372093023255814,16,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,4.16873208313426,NA,0,0,330.094359320302,0,0.3891119,22356.24,21170,-0.943888316061708,10.014860755705,9.96034036412891,0.4927199,2345.652,822,-0.707814420558395,7.7603186806144,6.71174039505618,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01057041,10.39837708,54.37579485,county_01057,state_01,0,NA,NA,NA,NA,418,1,0,0,0,0,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,15.4808394160584,NA,0,0,317.052339894181,0,0.4409544,25454.8,20285,-0.818813810242124,10.144659609303,9.91763697564055,0.5666235,2668.9,941,-0.568060216978102,7.88942168148643,6.84694313958538,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01057015,10.3207166,54.11531001,county_01057,state_01,0,NA,NA,NA,NA,851,1,0.0754716981132075,0,0.0377358490566038,2,5.95,6,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,21.3750810635538,NA,0,0,294.78749858311,0,0.4779672,25873.04,19862,-0.738213168091951,10.1609567789063,9.8965636374633,0.6254471,3810.535,292,-0.46928852499374,8.2455248782103,5.67675380226828,1.6437440544873552,-0.4286575391366834,-0.25643932253865254
AGS_01057033,10.14630843,54.20955107,county_01057,state_01,0,NA,NA,NA,NA,767,1,0,0,0.3,9,5.95,3,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,16.4569892473118,NA,1,0,309.8059371294,0,0.4799853,30988.13,23290.5,-0.733999800549155,10.3413595069153,10.0558008310893,0.6545077,2608.763,495,-0.423871928995504,7.86663144160851,6.20455776256869,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01057003,10.31507496,54.40412471,county_01057,state_01,0,NA,NA,NA,NA,558,1,0,0,0,0,5.95,5,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,3.33766608896592,NA,0,0,322.459482533606,0,0.4432405,25623.39,21098,-0.813642766857614,10.1512608851986,9.95693352824175,0.5870634,1584.849,0,-0.532622458172047,7.36824441363428,NA,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01057066,10.31361438,54.28073651,county_01057,state_01,0,NA,NA,NA,NA,852,1,0,0,0,0,5.95,8,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,19.4138839575056,NA,0,0,310.662040889658,0,0.4555886,28375.28,23348,-0.786165069671242,10.2532736225764,10.0582666063237,0.6374761,3204.411,690,-0.450238492848409,8.072283577115,6.5366915975913,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01057025,10.21882216,54.36757933,county_01057,state_01,0,0.416666666666667,0.615430280486371,0.14024774376067353,1,8096,1,0.0299003322259136,0,0.0631229235880399,19,5.95,44,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,13.3079163810829,NA,0,0,322.125125597942,0,0.578626,34909.49,21054,-0.547098951397156,10.4605139909978,9.95484584481127,0.7101709,5073.352,523,-0.342249633686038,8.53175702211005,6.25958146406492,0.2594570698733658,-0.4286575391366834,2.261151548637794
AGS_01058074,9.75979952,54.12945964,county_01058,state_01,0,NA,NA,NA,NA,137,1,0,0,0.372093023255814,16,5.95,1,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,16.0759536784741,NA,0,0,317.511077721675,0,0.4334047,26663.14,24070.5,-0.836083345453216,10.1910373662421,10.0887423033075,NA,NA,NA,NA,NA,NA,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01058071,9.61507117,54.19373907,county_01058,state_01,0,NA,NA,NA,NA,470,1,0,0,0.372093023255814,16,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,3.23371547681084,NA,0,0,329.019721618543,0,0.4241815,21777,18753,-0.857593849306572,9.98860964595295,9.83910901859992,0.5184017,1099.744,40,-0.657004854628461,7.00283270442854,3.68887945411394,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01058086,9.68381823,54.22493463,county_01058,state_01,0,0.117647058823529,-0.669689916097967,-0.539687826378358,0,3247,1,0.0428571428571429,0,0.0285714285714286,2,5.95,24,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,5.4308569530558,NA,0,0,328.918930434209,0,0.4360208,24426.52,20964.5,-0.830065330349,10.1034247062951,9.95058581004787,0.5630963,3438.387,901.5,-0.574304617512109,8.14275774505281,6.80406004264337,0.6530363267092849,-0.4286575391366834,-0.25643932253865254
AGS_01057040,10.34266252,54.39434688,county_01057,state_01,0,NA,NA,NA,NA,423,1,0,0,0,0,5.95,4,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,6.513723150358,NA,1,0,320.626806285188,0,0.4504235,26791.42,22184.5,-0.797567027674074,10.1958369659865,10.0071491258083,0.6682578,2610.773,329.5,-0.40308125175289,7.86740162504986,5.79757635394256,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01057029,10.50612416,54.37130785,county_01057,state_01,0,NA,NA,NA,NA,1022,1,0,0,0,0,5.95,14,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,15.3226343319068,NA,0,0,313.265777324139,0,0.5094675,21431.11,14557,-0.674389216381378,9.97259888367313,9.58582725656466,0.8312883,7368.948,88,-0.184778612885532,8.90503023415369,4.47733681447821,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
AGS_01058015,9.53297704,54.11805609,county_01058,state_01,0,NA,NA,NA,NA,743,1,0,0,0.372093023255814,16,5.95,9,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,6.75758785942492,NA,0,0,326.038546147073,0,0.4764624,23207.42,18075,-0.741366467710675,10.0522273341067,9.80228504702696,0.4846866,1833.5,276.5,-0.724252782479541,7.51398198751138,5.6222108209623904,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
AGS_01058163,9.88098468,54.12362943,county_01058,state_01,0,NA,NA,NA,NA,1070,1,0.00675675675675676,0.00675675675675676,0.0743243243243243,11,5.95,6,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,13.9440052700922,NA,0,0,312.113388504489,0,0.4533079,27561.19,22324,-0.791183693435154,10.224163902715,10.0134176119083,0.5666594,2666.707,688,-0.567996861217573,7.88859965687948,6.53378883793334,-0.44355785354629823,0.3483756481002608,1.07640290337829
AGS_01057047,10.22382541,54.18248292,county_01057,state_01,0,NA,NA,NA,NA,294,1,0,0,0.3,9,5.95,2,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0793454698025687,17.7258467518046,NA,0,0,304.505619719054,0,0.4934119,25908.88,20408.5,-0.70641095681534,10.1623410460684,9.92370675971752,0.5745754,3732.277,723,-0.554123945744653,8.22477378214961,6.58340922215876,-0.6488027535941345,-0.4286575391366834,0.7802157420634138
AGS_01058061,9.46602804,54.10962596,county_01058,state_01,0,NA,NA,NA,NA,574,1,0,0,0.372093023255814,16,5.95,6,3.69891308552199,law_common_law,STAAT_Preussen_1898,0.0802939005717181,13.7821242294927,NA,0,0,328.229110136866,0,0.4687647,24089.04,19944.5,-0.757654342189231,10.0895122442545,9.90070869508569,0.6322221,2663.143,553.5,-0.458514522519615,7.8872622832081,6.31626175214869,-0.6488027535941345,-0.4286575391366834,1.8168708066654802
