age,male,freshman,sophomore,junior,senior,fraternity,abstainer,lightdrinker,moddrinker,heavydrinker,marijuana,gpa,work,drinks
19,0,0,1,0,0,0,1,0,0,0,0,3,0,0
21,0,0,0,0,1,0,0,1,0,0,0,3.3333001,1,2
25,0,0,0,0,1,0,1,0,0,0,0,3,0,0
21,0,0,0,0,1,0,0,0,0,1,0,3.6666999,1,5
19,1,1,0,0,0,0,1,0,0,0,0,4,1,0
20,0,0,1,0,0,0,0,0,1,0,1,4,1,4
20,1,0,0,1,0,0,0,0,1,0,1,3,1,6
21,0,0,0,1,0,0,0,1,0,0,0,3.6666999,1,2
21,0,0,0,1,0,1,1,0,0,0,0,3,1,0
23,0,0,0,1,0,0,0,1,0,0,1,3,0,2
19,0,1,0,0,0,0,1,0,0,0,0,3.3333001,0,0
19,0,1,0,0,0,0,0,1,0,0,0,2.6666999,1,0
19,1,1,0,0,0,0,0,1,0,0,0,3.6666999,0,3
21,1,0,0,1,0,0,1,0,0,0,0,3.3333001,0,0
19,1,1,0,0,0,0,0,1,0,0,0,3,1,0
18,0,1,0,0,0,0,0,1,0,0,0,3.3333001,1,0
25,0,0,0,0,1,0,0,1,0,0,0,4,0,2
20,1,0,0,1,0,0,0,1,0,0,0,3.3333001,0,4
19,0,1,0,0,0,0,1,0,0,0,0,3.3333001,1,0
20,0,0,1,0,0,0,0,1,0,0,1,3.3333001,0,2
18,0,1,0,0,0,0,1,0,0,0,0,3.3333001,1,0
21,0,0,0,0,1,0,0,1,0,0,0,3.6666999,0,4
21,0,0,0,0,1,0,0,1,0,0,0,3.3333001,1,5
22,1,0,0,0,1,0,1,0,0,0,0,3.6666999,0,0
19,0,1,0,0,0,0,0,1,0,0,0,4,1,0
22,0,0,0,0,1,0,0,1,0,0,0,3.3333001,1,4
22,1,0,0,0,1,0,0,1,0,0,0,3,1,2
22,0,0,0,0,1,0,0,1,0,0,0,2.6666999,1,0
20,0,0,0,1,0,0,0,0,1,0,1,2.6666999,1,4
20,1,0,1,0,0,0,0,0,1,0,0,3.6666999,1,6
25,1,0,1,0,0,0,1,0,0,0,0,3,1,2
19,0,1,0,0,0,0,0,1,0,0,1,4,0,4
20,0,0,1,0,0,0,0,1,0,0,0,3.3333001,1,0
25,0,0,0,1,0,0,0,1,0,0,0,4,1,0
20,0,0,0,1,0,0,0,1,0,0,0,3.3333001,0,0
20,0,0,1,0,0,1,1,0,0,0,0,3.6666999,0,0
23,1,0,0,1,0,0,0,1,0,0,0,3,1,4
19,1,1,0,0,0,0,1,0,0,0,0,3,1,0
20,0,0,1,0,0,0,0,0,1,0,0,4,1,3
22,1,0,0,0,1,0,0,0,1,0,0,3.6666999,0,3
25,1,0,1,0,0,0,0,1,0,0,1,3,1,4
20,0,0,0,1,0,0,0,1,0,0,0,3.6666999,0,3
19,0,0,1,0,0,0,1,0,0,0,0,2.3333001,1,0
22,1,0,0,1,0,0,0,0,0,0,0,3.3333001,0,3
18,0,1,0,0,0,0,0,1,0,0,0,3.6666999,0,0
18,0,1,0,0,0,0,0,1,0,0,0,3,1,2
